Name;Code;Wards;Area-km2;pop-2011;total-road-leght;street-trees
Barking and Dagenham;E09000002;00AB;37,90;185911,00;338,93;16328,00
Barnet;E09000003;00AC;86,80;356386,00;760,90;39402,00
Bexley;E09000004;00AD;64,40;231997,00;559,57;11305,00
Brent;E09000005;00AE;43,30;311215,00;487,15;27596,00
Bromley;E09000006;00AF;150,20;309392,00;904,93;68275,00
Camden;E09000007;00AG;21,80;220338,00;282,44;21664,00
City of London;E09000001;00AA;3,20;7375,00;55,52;1397,00
Croydon;E09000008;00AH;86,50;363378,00;777,96;45533,00
Ealing;E09000009;00AJ;55,50;338449,00;587,57;40804,00
Enfield;E09000010;00AK;82,20;312466,00;644,22;66150,00
Greenwich;E09000011;00AL;50,40;254557,00;503,24;12087,00
Hackney;E09000012;00AM;19,00;246270,00;277,29;13108,00
Hammersmith and Fulham;E09000013;00AN;17,30;182493,00;220,80;5929,00
Haringey;E09000014;00AP;29,70;254926,00;357,11;15868,00
Harrow;E09000015;00AQ;50,60;239056,00;473,79;35756,00
Havering;E09000016;00AR;114,50;237232,00;660,15;31735,00
Hillingdon;E09000017;00AS;115,60;273936,00;755,59;21488,00
Hounslow;E09000018;00AT;56,60;253957,00;499,38;32701,00
Islington;E09000019;00AU;14,60;206125,00;237,70;35780,00
Kensington and Chelsea;E09000020;00AW;12,40;158649,00;204,87;6610,00
Kingston upon Thames;E09000021;00AX;37,30;160060,00;344,40;15178,00
Lambeth;E09000022;00AY;27,30;303086,00;382,54;11312,00
Lewisham;E09000023;00AZ;35,30;275885,00;456,09;13734,00
Merton;E09000024;00BA;37,70;199693,00;376,26;17667,00
Newham;E09000025;00BB;38,50;307984,00;426,15;30102,00
Redbridge;E09000026;00BC;56,40;278970,00;532,05;41504,00
Richmond upon Thames;E09000027;00BD;58,60;186990,00;414,73;21003,00
Southwark;E09000028;00BE;29,80;288283,00;393,16;50725,00
Sutton;E09000029;00BF;44,00;190146,00;431,95;21287,00
Tower Hamlets;E09000030;00BG;21,60;254096,00;285,50;11851,00
Waltham Forest;E09000031;00BH;38,80;258249,00;425,83;42477,00
Wandsworth;E09000032;00BJ;35,10;306995,00;435,97;19200,00
Westminster;E09000033;00BK;22,00;219396,00;339,89;18155,00
