"","OBJECTID","WD11CD","WD11CDO","WD11NM","WD11NMW","Shape_Leng","Shape_Area","treeCount","treeDensity"
"0",1,"E05000001","00AAFA","Aldersgate",NA,1862.96111133,86357.5981744,140,0.00162116597680389
"1",2,"E05000002","00AAFB","Aldgate",NA,1978.61328674,112268.730196,6,5.34431982043098e-05
"2",3,"E05000003","00AAFC","Bassishaw",NA,1597.31633492,100304.493454,107,0.00106675181055938
"3",4,"E05000004","00AAFD","Billingsgate",NA,1908.51461643,121621.813519,34,0.00027955511446947
"4",5,"E05000005","00AAFE","Bishopsgate",NA,2861.89970742,252703.175192,63,0.000249304346696853
"5",6,"E05000006","00AAFF","Bread Street",NA,2015.43006951,97125.3154989,159,0.00163706031929034
"6",7,"E05000007","00AAFG","Bridge",NA,1554.04410127,94197.0747933,8,8.49283273125266e-05
"7",8,"E05000008","00AAFH","Broad Street",NA,1402.2204513,81887.6891744,11,0.000134330326217686
"8",9,"E05000009","00AAFJ","Candlewick",NA,991.310823289,43450.5628018,0,0
"9",10,"E05000010","00AAFK","Castle Baynard",NA,4183.51301436,360651.027458,161,0.000446414921189401
"10",11,"E05000011","00AAFL","Cheap",NA,1614.67119676,89080.8594999,32,0.000359224194501931
"11",12,"E05000012","00AAFM","Coleman Street",NA,2602.84072059,154036.151387,43,0.000279155247732217
"12",13,"E05000013","00AAFN","Cordwainer",NA,1103.8876904,60712.5141005,19,0.000312950308203954
"13",14,"E05000014","00AAFP","Cornhill",NA,1427.33864983,64787.56944,14,0.000216090835342533
"14",15,"E05000015","00AAFQ","Cripplegate",NA,2512.69194161,145432.834416,177,0.00121705666198649
"15",16,"E05000016","00AAFR","Dowgate",NA,1449.80094188,95747.1364438,28,0.000292436944225877
"16",17,"E05000017","00AAFS","Farringdon Within",NA,3491.81017696,231546.23134,63,0.000272083892859956
"17",18,"E05000018","00AAFT","Farringdon Without",NA,4845.17814907,343452.963125,100,0.000291160684971889
"18",19,"E05000019","00AAFU","Langbourn",NA,1605.95282872,56336.4833381,1,1.77504867313594e-05
"19",20,"E05000020","00AAFW","Lime Street",NA,1282.8331783,55108.8163661,6,0.000108875501156123
"20",21,"E05000021","00AAFX","Portsoken",NA,1981.96504325,62078.9269775,64,0.00103094565445255
"21",22,"E05000022","00AAFY","Queenhithe",NA,1339.39014876,79534.3970978,32,0.000402341642956474
"22",23,"E05000023","00AAFZ","Tower",NA,3443.0722787,197353.687237,75,0.000380028369616298
"23",24,"E05000024","00AAGA","Vintry",NA,1725.3676587,92095.0225721,16,0.00017373360202524
"24",25,"E05000025","00AAGB","Walbrook",NA,1646.00183493,71510.0563468,2,2.79680943094965e-05
"25",26,"E05000026","00ABFX","Abbey",NA,6244.86952353,1282926.12983,1084,0.000844943426429713
"26",27,"E05000027","00ABFY","Alibon",NA,6353.91609525,1364440.98031,598,0.000438274728350776
"27",28,"E05000028","00ABFZ","Becontree",NA,6341.65575039,1288084.91455,507,0.000393607590825126
"28",29,"E05000029","00ABGA","Chadwell Heath",NA,9603.34429075,3384197.62495,1515,0.000447668891681074
"29",30,"E05000030","00ABGB","Eastbrook",NA,8987.67619541,3450577.57307,681,0.000197358264109386
"30",31,"E05000031","00ABGC","Eastbury",NA,6829.47848896,1440027.97656,1403,0.000974286626943951
"31",32,"E05000032","00ABGD","Gascoigne",NA,5949.19254602,1137904.03812,611,0.000536952132628629
"32",33,"E05000033","00ABGE","Goresbrook",NA,5703.32551412,1277823.94946,551,0.000431201810099108
"33",34,"E05000034","00ABGF","Heath",NA,8064.86476664,2001296.66258,1644,0.000821467416965389
"34",35,"E05000035","00ABGG","Longbridge",NA,6376.99849539,1645286.18476,2756,0.00167508851986094
"35",36,"E05000036","00ABGH","Mayesbrook",NA,7635.24794727,1856439.73242,1250,0.000673331850295453
"36",37,"E05000037","00ABGJ","Parsloes",NA,6796.69355297,1243846.13033,659,0.000529808296963109
"37",38,"E05000038","00ABGK","River",NA,10386.5118786,3546386.01428,344,9.70001569520349e-05
"38",39,"E05000039","00ABGL","Thames",NA,13329.8562586,7888494.52817,745,9.44413407824275e-05
"39",40,"E05000040","00ABGM","Valence",NA,5791.43979747,1292829.62583,840,0.000649737585843188
"40",41,"E05000041","00ABGN","Village",NA,7862.90148443,2144790.88414,655,0.000305391077907735
"41",42,"E05000042","00ABGP","Whalebone",NA,7013.79986882,1553976.19157,495,0.000318537698763111
"42",43,"E05000043","00ACFX","Brunswick Park",NA,8411.10904888,3175247.66915,1826,0.000575073251053335
"43",44,"E05000044","00ACFY","Burnt Oak",NA,6779.84248498,2067226.90841,1230,0.000594999994917549
"44",45,"E05000045","00ACFZ","Childs Hill",NA,9327.40261349,3093000.96988,2257,0.000729712024655911
"45",46,"E05000046","00ACGA","Colindale",NA,8455.9326348,2636245.0126,2576,0.00097714741523776
"46",47,"E05000047","00ACGB","Coppetts",NA,7975.3004518,2720602.89807,1884,0.000692493565058825
"47",48,"E05000048","00ACGC","East Barnet",NA,9677.14307372,3749402.08736,1760,0.000469408177354286
"48",49,"E05000049","00ACGD","East Finchley",NA,8188.43917139,2509885.85201,1321,0.000526318756265092
"49",50,"E05000050","00ACGE","Edgware",NA,12882.6629356,5556467.2045,2214,0.000398454614867096
"50",51,"E05000051","00ACGF","Finchley Church End",NA,8223.7976234,2725662.95712,1791,0.000657087845476578
"51",52,"E05000052","00ACGG","Garden Suburb",NA,10448.1371506,4727041.92429,4209,0.000890408857674757
"52",53,"E05000053","00ACGH","Golders Green",NA,9407.98752823,2972917.88477,2163,0.000727568027044677
"53",54,"E05000054","00ACGJ","Hale",NA,15683.3346307,5423192.72165,1920,0.000354034993507001
"54",55,"E05000055","00ACGK","Hendon",NA,7781.56829326,2838695.14699,2065,0.000727446905377913
"55",56,"E05000056","00ACGL","High Barnet",NA,19783.9122863,8306624.26528,1507,0.000181421471812009
"56",57,"E05000057","00ACGM","Mill Hill",NA,14778.3011396,9389236.36837,3682,0.000392151167095285
"57",58,"E05000058","00ACGN","Oakleigh",NA,11713.8686083,3318596.3464,1765,0.000531851365986296
"58",59,"E05000059","00ACGP","Totteridge",NA,17435.7240012,8774454.55022,2132,0.000242978066361731
"59",60,"E05000060","00ACGQ","Underhill",NA,16319.7280611,4550548.3244,1663,0.000365450464744621
"60",61,"E05000061","00ACGR","West Finchley",NA,7848.14589339,2163446.69054,1666,0.000770067507224398
"61",62,"E05000062","00ACGS","West Hendon",NA,10262.7320081,3428659.51761,1831,0.000534027946079161
"62",63,"E05000063","00ACGT","Woodhouse",NA,8890.54517997,2621158.97704,1778,0.000678325891549302
"63",64,"E05000064","00ADGA","Barnehurst",NA,10243.7331084,2870509.67138,581,0.000202403080466846
"64",65,"E05000065","00ADGB","Belvedere",NA,10703.8918026,3170236.2277,130,4.10064079336699e-05
"65",66,"E05000066","00ADGC","Blackfen and Lamorbey",NA,8399.95428883,1684131.69498,1047,0.000621685348668674
"66",67,"E05000067","00ADGD","Blendon and Penhill",NA,7856.50904436,2096855.39686,1163,0.000554640058504953
"67",68,"E05000068","00ADGE","Brampton",NA,7407.0123998,1973697.98799,494,0.000250291586150857
